Temperature	Time
32.45,1.21
32.39,1.81
32.32,2.41
32.24,3.02
32.16,3.62
32.08,4.23
31.99,4.83
31.91,5.43
31.82,6.04
31.74,6.64
31.65,7.24
31.57,7.85
31.49,8.45
31.4,9.06
31.32,9.66
31.23,10.26
31.15,10.87
31.07,11.47
30.98,12.08
30.9,12.68
30.82,13.28
30.74,13.89
30.65,14.49
30.57,15.1
30.49,15.7
30.41,16.3
30.33,16.91
30.25,17.51
30.18,18.12
30.11,18.72
30.03,19.32
29.96,19.93
29.89,20.53
29.83,21.14
29.76,21.74
29.7,22.34
29.63,22.95
29.57,23.55
29.51,24.16
29.45,24.76
29.39,25.36
29.33,25.97
29.27,26.57
29.21,27.17
29.15,27.78
29.09,28.38
29.03,28.99
28.98,29.59
28.92,30.19
28.87,30.8
28.81,31.4
28.75,32.01
28.7,32.61
28.65,33.22
28.59,33.82
28.54,34.42
28.48,35.03
28.43,35.63
28.38,36.24
28.33,36.84
28.27,37.44
28.22,38.05
28.17,38.65
28.12,39.26
28.06,39.86
28.01,40.46
27.96,41.07
27.9,41.67
27.85,42.27
27.8,42.88
27.75,43.48
27.7,44.09
27.65,44.69
27.6,45.29
27.55,45.9
27.5,46.5
27.46,47.11
27.41,47.71
27.36,48.31
27.31,48.92
27.27,49.52
27.22,50.13
27.18,50.73
27.13,51.33
27.09,51.94
27.04,52.54
27,53.15
26.96,53.75
26.92,54.35
26.88,54.96
26.84,55.56
26.8,56.17
26.77,56.77
26.73,57.37
26.69,57.98
26.66,58.58
26.62,59.19
26.58,59.79
26.54,60.39
26.51,61
26.47,61.6
26.44,62.2
26.4,62.81
26.37,63.41
26.33,64.02
26.3,64.62
26.27,65.22
26.24,65.83
26.2,66.43
26.17,67.04
26.14,67.64
26.12,68.25
26.09,68.85
26.06,69.45
26.03,70.06
26,70.66
25.98,71.26
25.95,71.87
25.92,72.47
25.89,73.08
25.87,73.68
25.84,74.29
25.81,74.89
25.78,75.49
25.77,76.1
25.81,76.7
25.9,77.3
26.03,77.91
26.18,78.51
26.36,79.12
26.55,79.72
26.75,80.32
26.97,80.93
27.19,81.53
27.41,82.14
27.62,82.74
27.78,83.34
27.89,83.95
27.96,84.55
28.01,85.16
28.03,85.76
28.03,86.37
28.01,86.97
27.99,87.57
27.95,88.18
27.91,88.78
27.87,89.39
27.82,89.99
27.76,90.6
27.71,91.2
27.65,91.8
27.6,92.41
27.55,93.01
27.49,93.62
27.44,94.22
27.38,94.83
27.33,95.43
27.27,96.04
27.22,96.64
27.17,97.25
27.12,97.85
27.07,98.45
27.02,99.06
26.97,99.66
26.92,100.27
26.88,100.87
26.83,101.48
26.79,102.08
26.75,102.68
26.7,103.29
26.66,103.89
26.62,104.5
26.58,105.1
26.54,105.71
26.51,106.31
26.47,106.92
26.43,107.52
26.39,108.13
26.36,108.73
26.32,109.33
26.29,109.94
26.25,110.54
26.22,111.15
26.19,111.75
26.15,112.36
26.12,112.96
26.09,113.57
26.05,114.17
26.02,114.77
25.99,115.38
25.95,115.98
25.92,116.59
25.89,117.19
25.86,117.8
25.83,118.4
25.8,119.01
25.77,119.61
25.75,120.21
25.72,120.82
25.69,121.42
25.66,122.03
25.63,122.63
25.6,123.24
25.57,123.84
25.55,124.45
25.52,125.05
25.49,125.66
25.46,126.26
25.43,126.86
25.4,127.47
25.38,128.07
25.35,128.68
25.32,129.28
25.29,129.89
25.26,130.49
25.23,131.1
25.21,131.7
25.18,132.3
25.16,132.91
25.13,133.51
25.1,134.12
25.07,134.72
25.06,135.33
25.09,135.93
25.15,136.54
25.24,137.14
25.35,137.75
25.48,138.35
25.61,138.95
25.76,139.56
25.92,140.16
26.08,140.77
26.24,141.37
26.4,141.98
26.56,142.58
26.71,143.19
26.87,143.79
27.03,144.4
27.18,145
27.33,145.6
27.47,146.21
27.61,146.81
27.74,147.42
27.87,148.02
27.98,148.63
28.08,149.23
28.18,149.84
28.26,150.44
28.34,151.05
28.41,151.65
28.48,152.25
28.54,152.86
28.59,153.46
28.63,154.07
28.67,154.67
28.7,155.28
28.72,155.88
28.74,156.49
28.75,157.09
28.76,157.69
28.77,158.3
28.76,158.9
